RNBKQBNRPPP__PPP___________PP_____________n_____ppppppppr_bkqbnr,12
RNBKQBNRPPP__PPP___________PP_____________n_____ppppppppr_bkqbnr,12
RNBKQBNRPPP_P_PP_____P_____P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_P_PP_____P_____P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_P_PP___________P_P____________n_____ppppppppr_bkqbnr,5
RNBKQBNRPPP_P_PP___________P_P____________n_____ppppppppr_bkqbnr,5
RNBKQBNRPPP_PP_P______P____P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PP_P______P____P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PP_P___________P__P___________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PP_P___________P__P___________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PPP________P___P______________n_____ppppppppr_bkqbnr,5
RNBKQBNRPPP_PPP________P___P______________n_____ppppppppr_bkqbnr,5
RNBKQBNRPPP_PPP____________P___P__________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PPP____________P___P__________n_____ppppppppr_bkqbnr,7
RNBKQBNRPPP_PPPP___________P______________n_____ppppppppr_bkqbnr,19
RNB_QBNRPPPKPPPP___________P____________n_______ppppppppr_bkqbnr,-4
RNB_QBNRPPPKPPPP___________P____________n_______ppppppppr_bkqbnr,-4
R_BKQBNRPPP_PPPP__N________P____________n_______ppppppppr_bkqbnr,6
R_BKQBNRPPP_PPPP__N________P____________n_______ppppppppr_bkqbnr,6
R_BKQBNRPPPNPPPP___________P____________n_______ppppppppr_bkqbnr,3
R_BKQBNRPPPNPPPP___________P____________n_______ppppppppr_bkqbnr,3
R_BKQBNRPPP_PPPPN__________P____________n_______ppppppppr_bkqbnr,7
R_BKQBNRPPP_PPPPN__________P____________n_______ppppppppr_bkqbnr,7
RNBKQB_RPPP_PPPP_______N___P____________n_______ppppppppr_bkqbnr,8
RNBKQB_RPPP_PPPP_______N___P____________n_______ppppppppr_bkqbnr,8
RNBKQB_RPPP_PPPP_____N_____P____________n_______ppppppppr_bkqbnr,10
RNBKQB_RPPP_PPPP_____N_____P____________n_______ppppppppr_bkqbnr,10
RN_KQBNRPPPBPPPP___________P____________n_______ppppppppr_bkqbnr,6
RN_KQBNRPPPBPPPP___________P____________n_______ppppppppr_bkqbnr,6
RN_KQBNRPPP_PPPP____B______P____________n_______ppppppppr_bkqbnr,5
RN_KQBNRPPP_PPPP____B______P____________n_______ppppppppr_bkqbnr,5
RN_KQBNRPPP_PPPP___________P_B__________n_______ppppppppr_bkqbnr,10
RN_KQBNRPPP_PPPP___________P_B__________n_______ppppppppr_bkqbnr,10
RN_KQBNRPPP_PPPP___________P__________B_n_______ppppppppr_bkqbnr,11
RN_KQBNRPPP_PPPP___________P__________B_n_______ppppppppr_bkqbnr,11
RN_KQBNRPPP_PPPP___________P____________n______Bppppppppr_bkqbnr,9
RN_KQBNRPPP_PPPP___________P____________n______Bppppppppr_bkqbnr,9
RNBK_BNRPPPQPPPP___________P____________n_______ppppppppr_bkqbnr,7
RNBK_BNRPPPQPPPP___________P____________n_______ppppppppr_bkqbnr,7
RNBK_BNRPPP_PPPP__Q________P____________n_______ppppppppr_bkqbnr,15
RNBK_BNRPPP_PPPP__Q________P____________n_______ppppppppr_bkqbnr,15
RNBK_BNRPPP_PPPP_________Q_P____________n_______ppppppppr_bkqbnr,16
RNBK_BNRPPP_PPPP_________Q_P____________n_______ppppppppr_bkqbnr,16
RNBK_BNRPPP_PPPP___________P____Q_______n_______ppppppppr_bkqbnr,19
RNBK_BNRPPP_PPPP___________P____Q_______n_______ppppppppr_bkqbnr,19
RNBKQBNRPPP_PPPP___________P____________n_______ppppppppr_bkqbnr,19
RNB_QBNRPPPKPPPP___________P___________________npppppppprnbkqb_r,-4
RNB_QBNRPPPKPPPP___________P___________________npppppppprnbkqb_r,-4
R_BKQBNRPPP_PPPP__N________P___________________npppppppprnbkqb_r,6
R_BKQBNRPPP_PPPP__N________P___________________npppppppprnbkqb_r,6
R_BKQBNRPPPNPPPP___________P___________________npppppppprnbkqb_r,3
R_BKQBNRPPPNPPPP___________P___________________npppppppprnbkqb_r,3
R_BKQBNRPPP_PPPPN__________P___________________npppppppprnbkqb_r,7
R_BKQBNRPPP_PPPPN__________P___________________npppppppprnbkqb_r,7
RNBKQB_RPPP_PPPP_______N___P___________________npppppppprnbkqb_r,8
RNBKQB_RPPP_PPPP_______N___P___________________npppppppprnbkqb_r,8
RNBKQB_RPPP_PPPP_____N_____P___________________npppppppprnbkqb_r,10
RNBKQB_RPPP_PPPP_____N_____P___________________npppppppprnbkqb_r,10
RN_KQBNRPPPBPPPP___________P___________________npppppppprnbkqb_r,6
RN_KQBNRPPPBPPPP___________P___________________npppppppprnbkqb_r,6
RN_KQBNRPPP_PPPP____B______P___________________npppppppprnbkqb_r,5
RN_KQBNRPPP_PPPP____B______P___________________npppppppprnbkqb_r,5
RN_KQBNRPPP_PPPP___________P_B_________________npppppppprnbkqb_r,10
RN_KQBNRPPP_PPPP___________P_B_________________npppppppprnbkqb_r,10
RN_KQBNRPPP_PPPP___________P__________B________npppppppprnbkqb_r,11
RN_KQBNRPPP_PPPP___________P__________B________npppppppprnbkqb_r,11
RN_KQBNRPPP_PPPP___________P___________________Bpppppppprnbkqb_r,160
RN_KQBNRPPP_PPPP___________P___________________Bpppppppprnbkqb_r,160
RNBKQBNRPPP_PPPP___________P___________________npppppppprnbkqb_r,160
RNB_QBNRPPPKPPPP___________P_________________n__pppppppprnbkqb_r,-6
RNB_QBNRPPPKPPPP___________P_________________n__pppppppprnbkqb_r,-6
R_BKQBNRPPP_PPPP__N________P_________________n__pppppppprnbkqb_r,4
R_BKQBNRPPP_PPPP__N________P_________________n__pppppppprnbkqb_r,4
R_BKQBNRPPPNPPPP___________P_________________n__pppppppprnbkqb_r,1
R_BKQBNRPPPNPPPP___________P_________________n__pppppppprnbkqb_r,1
R_BKQBNRPPP_PPPPN__________P_________________n__pppppppprnbkqb_r,5
R_BKQBNRPPP_PPPPN__________P_________________n__pppppppprnbkqb_r,5
RNBKQB_RPPP_PPPP_______N___P_________________n__pppppppprnbkqb_r,6
RNBKQB_RPPP_PPPP_______N___P_________________n__pppppppprnbkqb_r,6
RNBKQB_RPPP_PPPP_____N_____P_________________n__pppppppprnbkqb_r,8
RNBKQB_RPPP_PPPP_____N_____P_________________n__pppppppprnbkqb_r,8
RN_KQBNRPPPBPPPP___________P_________________n__pppppppprnbkqb_r,4
RN_KQBNRPPPBPPPP___________P_________________n__pppppppprnbkqb_r,4
RN_KQBNRPPP_PPPP____B______P_________________n__pppppppprnbkqb_r,3
RN_KQBNRPPP_PPPP____B______P_________________n__pppppppprnbkqb_r,3
RN_KQBNRPPP_PPPP___________P_B_______________n__pppppppprnbkqb_r,8
RN_KQBNRPPP_PPPP___________P_B_______________n__pppppppprnbkqb_r,8
RN_KQBNRPPP_PPPP___________P__________B______n__pppppppprnbkqb_r,8
RN_KQBNRPPP_PPPP___________P__________B______n__pppppppprnbkqb_r,8
RN_KQBNRPPP_PPPP___________P_________________n_Bpppppppprnbkqb_r,7
RN_KQBNRPPP_PPPP___________P_________________n_Bpppppppprnbkqb_r,7
RNBK_BNRPPPQPPPP___________P_________________n__pppppppprnbkqb_r,5
RNBK_BNRPPPQPPPP___________P_________________n__pppppppprnbkqb_r,5
RNBK_BNRPPP_PPPP__Q________P_________________n__pppppppprnbkqb_r,13
RNBK_BNRPPP_PPPP__Q________P_________________n__pppppppprnbkqb_r,13
RNBK_BNRPPP_PPPP_________Q_P_________________n__pppppppprnbkqb_r,14
RNBK_BNRPPP_PPPP_________Q_P_________________n__pppppppprnbkqb_r,14
RNBK_BNRPPP_PPPP___________P____Q____________n__pppppppprnbkqb_r,19
RNBK_BNRPPP_PPPP___________P____Q____________n__pppppppprnbkqb_r,19
RNBKQBNRPPP_PPPP___________P_________________n__pppppppprnbkqb_r,19
RNB_QBNRPPPKPPPP___________P____________p________ppppppprnbkqbnr,-3
